Name,Astronaut Year,Group,Status,Birth Year,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Occupation Field,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Shannon W. Lucid,1978,8,Retired,1943,1/14/43,"Shanghai, China",Female,University of Oklahoma,Chemistry,Biochemistry,Civilian,,,5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,
Terry W. Virts Jr. ,2000,18,Active,1967,12/1/67,"Baltimore, MD",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Mathematics,Aeronautics,Military,Colonel,US Air Force,2,5122,3,18,"STS-130 (Endeavor), ISS-42/43 (Soyuz)",,
Kenneth D. Bowersox,1987,12,Retired,1956,11/14/56,"Portsmouth, VA",Male,US Naval Academy; Columbia University,Aerospace Engineering,Mechanical Engineering,Military,Captain,US Navy (Retired),5,5078,2,13,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)",,
Michael R. Barratt,2000,18,Active,1959,4/16/59,"Vancouver, WA",Male,University of Washington; Northwestern University; Wright State University,Zoology,Medicine; Aerospace Medicine,Civilian,,,2,5075,1,5,"ISS-19/20 (Soyuz), STS-133 (Discovery)",,
Susan J. Helms,1990,13,Retired,1958,2/26/58,"Charlotte, NC",Female,US Air Force Academy; Stanford University,Aeronautical Engineering,Aeronautics & Astronautics,Military,Lieutenant General,US Air Force,5,5063,1,9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Edward T. Lu,1995,15,Retired,1963,7/1/63,"Springfield, MA",Male,Cornell University; Stanford University,Electrical Engineering,Applied Physics,Civilian,,,3,4962,1,6,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)",,
John L. Phillips,1996,16,Retired,1951,4/15/51,"Ft. Belvoir, VA",Male,US Naval Academy; University of West Florida; University of California-Los Angeles,Mathematics; Russian,Aeronautical Systems; Geophysics & Space Physics,Military,Captain,US Naval Reserves (Retired),3,4880,1,5,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (Discovery)",,
James S. Voss,1987,12,Retired,1949,3/3/49,"Cordova, AL",Male,Auburn University; University of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,Military,Colonel,US Army (Retired),5,4853,4,22,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Gregory E. Chamitoff,1998,17,Active,1962,8/6/62,"Montreal, Canada",Male,California Polytechnic State University; California Institute of Technology; MIT,Electrical Engineering,Aeronautical Engineering; Aeronautics & Astronautics,Civilian,,,2,4770,2,13,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)",,
Steven R. Swanson,1998,17,Active,1960,12/3/60,"Syracuse, NY",Male,University of Colorado; Florida Atlantic University; Texas A&M University,Engineering Physics,Computer Systems; Computer Science,Civilian,,,3,4700,5,28,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)",,
Michael E. Fossum,1998,17,Active,1957,12/19/57,"Sioux Falls, SD",Male,Texas A&M University; Air Force Institute of Technology; University of Houston-Clear Lake,Mechanical Engineering,Systems Engineering; Physical Science (Space Science),Civilian,,US Air Force Reserves (Retired),3,4651,7,48,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)",,
Tracy E. Caldwell (Dyson),1998,17,Active,1969,8/14/69,"Arcadia, CA",Female,California State University-Fullerton; University of California-Davis,Chemistry,Physical Chemistry,Civilian,,,2,4531,3,23,"STS-118 (Endeavor), ISS-23/24 (Soyuz)",,
Daniel C. Burbank,1996,16,Active,1961,7/27/61,"Machester, CT",Male,US Coast Guard Academy; Embry-Riddle Aeronautical University,Electrical Engineering,Aeronautical Science,Military,Captain,US Coast Guard (Retired),3,4512,1,7,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)",,
Christopher J. Cassidy,2004,19,Active,1970,1/4/70,"Salem, MA",Male,US Naval Academy; MIT,Mathematics,Ocean Engineering,Military,Commander,US Navy,1,4376,6,31,STS-127 (Endeavor); ISS-35/36 (Soyuz),,
Catherine G. Coleman,1992,14,Active,1960,12/14/60,"Charleston, SC",Female,MIT; University of Massachusetts,Chemistry,Polymer Science & Engineering,Military,Colonel,US Air Force (Retired),3,4324,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",,
Karen L. Nyberg,2000,18,Active,1969,10/7/69,"Parker’s Prairie, MN",Female,University of North Dakota; University of Texas,Mechanical Engineering,Mechanical Engineering,Civilian,,,2,4320,0,0,"STS-124 (Discovery), ISS-36/37 (Soyuz)",,
Douglas H. Wheelock,1998,17,Active,1960,5/5/60,"Binghamton, NY",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Military,Colonel,US Army,2,4281,6,43,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,
Barry E. Wilmore,2000,18,Active,1962,12/29/62,"Murfreesboro, TN",Male,Tennessee Technological University; University of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,Military,Captain,US Navy,2,4272,4,25,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,
Ronald J. Garan Jr. ,2000,18,Management,1961,10/20/61,"Yonkers, NY",Male,State University of New York; Embry-Riddle Aeronautical University; University of Florida,Business Economics,Aeronautics; Aerospace Engineering,Military,Colonel,US Air Force (Retired),2,4271,4,27,"STS-124 (Discovery), ISS-27/28 (Soyuz)",,
Andrew S. W. Thomas,1992,14,Management,1951,12/18/51,"Adelaide, Australia",Male,University of Adelaide,Mechanical Engineering,Mechanical Engineering,Civilian,,,4,4257,1,6,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",,
David A. Wolf,1990,13,Retired,1956,8/23/56,"Indianapolis, IN",Male,Purdue University; Indiana University,Electrical Engineering,Medicine,Civilian,,,3,4044,7,41,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",,
Clayton C. Anderson,1998,17,Retired,1959,2/23/59,"Omaha, NE",Male,Hastings College; Iowa State University,Physics,Aerospace Engineering,Civilian,,,2,4005,6,38,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",,
Michael S. Hopkins,2009,20,Active,1968,12/28/68,"Lebanon, MO",Male,University of Illinois; Stanford University,Aerospace Engineering,Aerospace Engineering,Military,Colonel,US Air Force,1,3990,2,13,ISS-37/38 (Soyuz),,
G. Reid Wiseman,2009,20,Active,1975,11/11/75,"Baltimore, MD",Male,Rensselaer Polytechnic Institute; Johns Hopkins University,Computer & Systems Engineering,Systems Engineering,Military,Commander,US Navy,1,3968,2,13,ISS-40/41 (Soyuz),,
Shannon Walker,2004,19,Active,1965,6/4/65,"Houston, TX",Female,Rice University,Space Physics,Space Physics,Civilian,,,1,3919,0,0,ISS-24/25 (Soyuz),,
Timothy J. Creamer,1998,17,Management,1959,11/15/59,"Ft. Huachuca, AZ",Male,Loyola College; MIT,Chemistry,Physics,Military,Colonel,US Army (Retired),1,3917,0,0,ISS-22/23 (Soyuz),,
Thomas H. Marshburn,2004,19,Active,1960,8/29/60,"Statesville, NC",Male,Davidson College; University of Virginia; Wake Forest University; University of Texas Medical Branch-Galveston,Physics,Engineering Physics; Medicine; Medical Science,Civilian,,,2,3871,4,24,"STS-127 (Endeavor), ISS-34/35 (Soyuz)",,
John E. Blaha,1980,9,Retired,1942,8/26/42,"San Antonio, TX",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautical Engineering,Military,Colonel,US Air Force (Retired),5,3861,0,0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79/81 (Atlantis/Atlantis)",,
William M. Shepherd,1984,10,Retired,1949,7/26/49,"Oak Ridge, TN",Male,US Naval Academy; MIT,Aerospace Engineering,Mechanical  Engineering,Military,Captain,US Navy (Retired),4,3823,0,0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)",,
Kevin A. Ford,2000,18,Active,1960,7/7/60,"Portland, IN",Male,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Aerospace Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,Military,Colonel,US Air Force (Retired),2,3781,0,0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",,
Sandra H. Magnus,1996,16,Retired,1964,10/30/64,"Belleville, IL",Female,University of Missouri-Rolla; Georgia Institute of Technology,Physics,Electrical Engineering; Materials Science & Engineering,Civilian,,,3,3776,0,0,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)",,
Robert Shane Kimbrough,2004,19,Active,1967,6/4/67,"Killeen, TX",Male,US Military Academy; Georgia Institute of Technology,Aerospace Engineering,Operations Research,Military,Colonel,US Army,3,3720,4,25,"STS-126 (Endeavor), ISS-49/50 (Soyuz)",,
Frank L. Culbertson Jr. ,1984,10,Retired,1949,5/15/49,"Charleston, SC",Male,US Naval Academy,Aerospace Engineering,,Military,Captain,US Navy (Retired),3,3446,1,5,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)",,
Jerry M. Linenger,1992,14,Retired,1955,1/16/55,"Mount Clemens, MI",Male,US Naval Academy; University of Southern California; University of North Carolina; Wayne State University,Bioscience,Systems Management; Public Health; Medicine; Epidemiology,Military,Captain,US Navy (Retired),2,3435,1,5,"STS-64 (Discovery), STS-81/84 (Atlantis)",,
Kjell N. Lindgren,2009,20,Active,1973,1/23/73,"Taipei, Taiwan",Male,US Air Force Academy; University of Colorado; Colorado State University; University of Minnesota; University of Texas Medical Branch-Galveston,Biology,Medicine; Cardiovascular Physiology; Health Informatics; Public Health,Civilian,,,1,3400,2,15,ISS-44/45 (Soyuz),,
Norman E. Thagard,1978,8,Retired,1943,7/3/43,"Marianna, FL",Male,Florida State University; University of Texas,Engineering Science,Engineering Science; Medicine,Civilian,,,5,3373,0,0,"STS-7 (Challenger), STS 51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Soyuz/Atlantis)",,
Joseph M. Acaba,2004,19,Active,1967,5/17/67,"Inglewood, CA",Male,University of California-Santa Barbara; University of Arizona,Geology,Geology,Civilian,,,2,3307,2,13,"STS-119 (Discovery), ISS-31/32 (Soyuz)",,
Daniel M. Tani,1996,16,Retired,1961,2/1/61,"Ridley Park, PA",Male,MIT,Mechanical Engineering,Mechanical Engineering,Civilian,,,2,3162,6,39,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)",,
Kathleen Rubins,2009,20,Active,1978,10/14/78,"Farmington, CT",Female,University of California-San Diego; Stanford University,Molecular Biology,Cancer Biology,Civilian,,,1,2762,2,13,ISS-48/49 (Soyuz),,
Garrett E. Reisman,1998,17,Retired,1968,2/10/68,"Morristown, NJ",Male,University of Pennsylvania; California Institute of Technology,Economics,Mechanical  Engineering,Civilian,,,2,2571,3,21,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)",,
Nicole P. Stott,2000,18,Active,1962,11/19/62,"Albany, NY",Female,Embry-Riddle Aeronautical University; University of Central Florida,Aeronautical Engineering,Engineering Management,Civilian,,,2,2477,1,6,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)",,
William R. Pogue,1966,5,Retired,1930,1/23/30,"Okemah, OK",Male,Oklahoma Baptist University; Oklahoma State University,Education,Mathematics,Military,Colonel,US Air Force (Retired),1,2017,2,13,Skylab 4,,
Edward G. Gibson,1965,4,Retired,1936,11/8/36,"Buffalo, NY",Male,University of Rochester; California Institute of Technology,Engineering,Engineering,Civilian,,,1,2017,3,15,Skylab 4,,
Gerald P. Carr,1966,5,Retired,1932,8/22/32,"Denver, CO",Male,University of Southern California; US Naval Postgraduate School; Princeton University,Mechanical Engineering,Aeronautical Engineering,Military,Colonel,US Marine Corps (Retired),1,2017,3,16,Skylab 4,,
Owen K. Garriott,1965,4,Retired,1930,11/22/30,"Enid, OK",Male,University of Oklahoma; Stanford University,Electrical Engineering,Electrical Engineering,Civilian,,,2,1674,3,14,"Skylab 3, STS-9 (Columbia)",,
Alan L. Bean,1963,3,Retired,1932,3/15/32,"Wheeler, TX",Male,University of Texas,Aeronautical Engineering,,Military,Captain,US Navy (Retired),2,1671,3,10,"Apollo 12, Skylab 3",,
Jack R. Lousma,1966,5,Retired,1936,2/29/36,"Grand Rapids, MI",Male,University of Michigan; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Military,Colonel,US Marine Corps (Retired),2,1619,2,11,"Skylab 3, STS-3 (Columbia)",,
Kent V. Rominger,1992,14,Retired,1956,8/7/56,"Del Norte, CO",Male,Colorado State University; US Naval Postgraduate School,Civil Engineering,Aeronautical Engineering,Military,Captain,US Navy (Retired),5,1611,0,0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",,
Franklin R. Chang-Diaz,1980,9,Retired,1950,4/5/50,"San Jose, Costa Rica",Male,University of Connecticut; MIT,Mechanical Engineering,Applied Plasma Physics,Civilian,,,7,1602,3,19,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",,
James D. Wetherbee,1984,10,Retired,1952,11/27/52,"Flushing, NY",Male,University of Notre Dame,Aerospace Engineering,,Military,Captain,US Navy (Retired),6,1594,0,0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",,
Kenneth D. Cockrell,1990,13,Management,1950,4/9/50,"Austin, TX",Male,University of Texas; University of West Florida,Mechanical Engineering,Aeronautical Systems,Civilian,,US Naval Reserves,5,1548,0,0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",,
Steven W. Lindsey,1995,15,Retired,1960,8/24/60,"Arcadia, CA",Male,US Air Force Academy; US Air Force Institute of Technology,Engineering Science,Aeronautical Engineering,Military,Colonel,US Air Force (Retired),5,1510,0,0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",,
Tamara E. Jernigan,1985,11,Retired,1959,5/7/59,"Chattanooga, TN",Female,Stanford University; University of California-Berkeley; Rice University,Physics,Engineering Science; Astronomy,Civilian,,,5,1489,1,8,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",,
Richard M. Linnehan,1992,14,Management,1957,9/19/57,"Lowell, MA",Male,University of New Hampshire; Ohio State University; Harvard University,Animal Science,Veterinary Medicine; Public Administration,Civilian,,,4,1427,6,43,"STS-78 (Columbia), STS-90 (Columbia), STS-109 (Columbia), STS-123 (Endeavor)",,
John M. Grunsfeld,1992,14,Management,1958,10/10/58,"Chicago, IL",Male,MIT; University of Chicago,Physics,Physics,Civilian,,,5,1407,8,58,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,
Scott E. Parazynski,1992,14,Retired,1961,7/28/61,"Little Rock, AR",Male,Stanford University,Biology,Medicine,Civilian,,,5,1404,7,47,"STS-66 (Atlantis), STS-86 (Atlantis), STS-95 (Discovery), STS-100 (Endeavor), STS-120 (Discovery)",,
Jerry L. Ross,1980,9,Retired,1948,1/20/48,"Crown Point, IN",Male,Purdue University,Mechanical Engineering,Mechanical Engineering,Military,Colonel,US Air Force (Retired),7,1393,9,58,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",,
Curtis L. Brown Jr. ,1987,12,Retired,1956,3/11/56,"Elizabethtown, NC",Male,US Air Force Academy,Electrical Engineering,,Military,Colonel,US Air Force (Retired),6,1383,0,0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)",,
Marsha S. Ivins,1984,10,Retired,1951,4/15/51,"Baltimore, MD",Female,University of Colorado,Aerospace Engineering,,Civilian,,,5,1341,0,0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",,
Mark E. Kelly,1996,16,Retired,1964,2/21/64,"Orange, NJ",Male,US Merchant Marine Academy; US Naval Postgraduate School,Marine Engineering & Nautical Science,Aeronautical Engineering,Military,Captain,US Navy (Retired),4,1298,0,0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)",,
Story Musgrave,1967,6,Retired,1935,8/19/35,"Boston, MA",Male,Syracuse University; Marietta College; University of California-Los Angeles; University of Kentucky; University of Houston; Columbia University,Mathematics & Statistics; Chemistry,Business Administration; Physiology; Literature; Medicine,Civilian,,,6,1281,4,26,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)",,
Thomas D. Jones,1990,13,Retired,1955,1/22/55,"Baltimore, MD",Male,US Air Force Academy; University of Arizona,,Planetary Science,Civilian,,,4,1272,3,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",,
Kevin R. Kregel,1992,14,Retired,1956,9/16/56,"New York, NY",Male,US Air Force Academy; Troy State University,Astronautical Engineering,Public Administration,Civilian,,,4,1265,0,0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)",,
James D. Halsell Jr. ,1990,13,Retired,1956,9/29/56,"Monroe, LA",Male,US Air Force Academy; Troy State University; US Air Force Institute of Technology,Engineering,Business Management; Space Operations,Military,Colonel,US Air Force (Retired),5,1258,0,0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,
Scott D. Altman,1995,15,Retired,1959,8/15/59,"Lincoln, IL",Male,University of Illinois; US Naval Postgraduate School,Aeronautical & Astronautical Engineering,Aeronautical Engineering,Military,Captain,US Navy (Retired),4,1236,0,0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)",,
Frederick W. Sturckow,1995,15,Retired,1961,8/11/61,"La Mesa, CA",Male,California Polytechnic State University,Mechanical Engineering,,Military,Colonel,US Marine Corps (Retired),4,1233,0,0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
Wendy B. Lawrence,1992,14,Retired,1959,7/2/59,"Jacksonville, FL",Female,US Naval Academy; MIT,Ocean Engineering,Ocean Engineering,Military,Captain,US Navy (Retired),4,1223,0,0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)",,
Jeffrey A. Hoffman,1978,8,Retired,1944,11/2/44,"Brooklyn, NY",Male,Amherst College; Rice University; Harvard University,Astronomy,Materials Science; Astrophysics,Civilian,,,5,1211,4,25,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",,
Bonnie J. Dunbar,1980,9,Retired,1949,3/3/49,"Sunnyside, WA",Female,University of Washington; University of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,Civilian,,,5,1207,0,0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,
Janice E. Voss,1990,13,Deceased,1956,10/8/56,"South Bend, IN",Female,Purdue University; MIT,Engineering Science,Electrical Engineering; Aeronautics & Astronautics,Civilian,,,5,1179,0,0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)",40945,
Charles Conrad Jr. ,1962,2,Deceased,1930,5/2/30,"Philadelphia, PA",Male,Princeton University,Aeronautical Engineering,,Military,Captain,US Navy (Retired),4,1179,4,12,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",36349,
Dominic L. Gorie,1995,15,Retired,1957,5/2/57,"Lake Charles, LA",Male,US Naval Academy; University of Tennessee,Ocean Engineering,Aviation Systems,Military,Captain,US Navy (Retired),4,1167,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,
Stephen K. Robinson,1995,15,Retired,1955,10/26/55,"Sacramento, CA",Male,University of California-Davis; Stanford University,Mechanical & Aeronautical Engineering,Mechanical  Engineering,Civilian,,,4,1162,3,20,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",,
Scott J. Horowitz,1992,14,Retired,1957,3/24/57,"Philadelphia, PA",Male,California State University-Northridge; Georgia Institute of Technology,Engineering,Aerospace Engineering,Military,Colonel,US Air Force (Retired),4,1137,0,0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",,
Peter J. K. Wisoff,1990,13,Retired,1958,8/16/58,"Norfolk, VA",Male,University of Virginia; Stanford University,Physics,Applied Physics,Civilian,,,4,1064,3,20,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,
Joseph R. Tanner,1992,14,Retired,1950,1/21/50,"Danville, IL",Male,University of Illinois,Mechanical Engineering,,Civilian,,,4,1045,7,46,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",,
James H. Newman,1990,13,Retired,1956,10/16/56,"San Diego, CA",Male,Dartmouth College; Rice University,Physics,Physics,Civilian,,,4,1042,6,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",,
Donald A. Thomas,1990,13,Retired,1955,5/6/55,"Cleveland, OH",Male,Case Western Reserve University; Cornell University,Physics,Materials Science,Civilian,,,4,1040,0,0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",,
Michael L. Gernhardt,1992,14,Management,1956,5/4/56,"Mansfield, OH",Male,Vanderbilt University; University of Pennsylvania,Physics,Bioengineering,Civilian,,,4,1039,4,23,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",,
Stephanie D. Wilson,1996,16,Active,1966,9/27/66,"Boston, MA",Female,Harvard University; University of Texas,Engineering Science,Aerospace Engineering,Civilian,,,3,1031,0,0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",,
Terence T. Henricks,1985,11,Retired,1952,7/5/52,"Bryan, OH",Male,US Air Force Academy; Golden Gate University,Civil Engineering,Public Administration,Military,Colonel,US Air Force (Retired),4,1026,0,0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",,
